"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",10695.3481916232,-0.252394707068227,0.072769357415223,-3.46842017070536,0.000523528042534239,0.00559880257820128
"ENSDARG00000102407",282.28295347545,-0.118439085486573,0.108472414294219,-1.09188208133102,0.274884934654321,0.507975541710407
"ENSDARG00000102097",136.778890868055,-0.275367502946766,0.144608930841553,-1.90422196847913,0.0568812817803498,0.184351180550711
"ENSDARG00000099640",329.166179948996,-0.271500558850068,0.10211763961766,-2.658703823028,0.00784418869789741,0.0447902500943498
"ENSDARG00000104071",243.637058298488,0.0023647081268573,0.107531217568567,0.0219908988322341,0.982455215463535,0.991201844929951
"ENSDARG00000102746",658.278774768191,-0.0404051976023877,0.0738718076291666,-0.546963705087874,0.584403667601496,0.775150039922314
"ENSDARG00000103929",431.70295062903,0.0697575709427819,0.0888596735318692,0.785030691315376,0.432435574137024,0.659178416974866
"ENSDARG00000101073",30.3985819174062,0.244254970498779,0.305744069570304,0.798887026139404,0.424355922445763,0.651912414170896
"ENSDARG00000100223",1386.69357482068,0.0374261245418669,0.0575875649292397,0.649899411233205,0.515757198518515,0.72441986643594
"ENSDARG00000100782",84.7461169372533,-0.328148582978311,0.193902220320159,-1.69234051284453,0.0905810675375263,0.251551015321075
"ENSDARG00000034862",141.304847505195,-0.398098672145058,0.151057806443118,-2.63540615026053,0.00840366613122312,0.0472277038566484
"ENSDARG00000075827",124.887138045756,0.277063314629582,0.181884188553649,1.52329521786803,0.127684863036786,0.314094054423866
"ENSDARG00000088581",1199.31147165625,-0.340860174610824,0.0811705827261253,-4.19930673358485,2.67733436216773e-05,0.00051148883001375
"ENSDARG00000076900",50.2655255611217,-0.694663011256861,0.24459631932162,-2.84003869389158,0.00451080619601907,0.0297524711529488
"ENSDARG00000013802",270.319641944655,-0.0779887000976597,0.106698858282062,-0.73092347334677,0.464825897372012,0.685939834597669
"ENSDARG00000096578",584.534650293739,0.143720692035505,0.0759504169113019,1.89229628855557,0.0584515151743635,0.188216898636209
"ENSDARG00000109848",2.06061609320355,-0.71583591606159,1.1455376185495,-0.624890797534866,0.532042732516629,NA
"ENSDARG00000100181",178.983037828939,0.149020818010397,0.134807874445525,1.10543110796258,0.268972830600352,0.501136207970483
"ENSDARG00000029936",151.083953432009,-0.626367152404605,0.144752054633214,-4.32717279206678,1.5103547501022e-05,0.000314447030175244
"ENSDARG00000041589",33.0119702017675,-0.629863870200143,0.276853918375635,-2.27507659597414,0.0229013353616249,0.0982929059151299
"ENSDARG00000041592",384.985590081386,-0.0119322488738407,0.0974777150544166,-0.122410018199334,0.902574304803257,0.953841175716683
"ENSDARG00000075108",96.9982227905585,-0.287953052652187,0.168010848164365,-1.71389559542299,0.0865479021384721,0.244573237199182
