"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","4/37","28/18057",2.94839882305498e-07,5.59378520820122e-05,4.32117533061385e-05,"321618/550353/322508/562307",4
"GO:0030261","BP","GO:0030261","chromosome condensation","4/37","31/18057",4.51111710338808e-07,5.59378520820122e-05,4.32117533061385e-05,"321618/550353/322508/562307",4
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","4/37","38/18057",1.04750019520302e-06,6.52702944272373e-05,5.04210254064397e-05,"321618/550353/322508/562307",4
"GO:0046942","BP","GO:0046942","carboxylic acid transport","6/37","177/18057",1.47217519366307e-06,6.52702944272373e-05,5.04210254064397e-05,"445158/568032/492363/561766/567144/798635",6
"GO:0015849","BP","GO:0015849","organic acid transport","6/37","179/18057",1.57171856380841e-06,6.52702944272373e-05,5.04210254064397e-05,"445158/568032/492363/561766/567144/798635",6
"GO:0006334","BP","GO:0006334","nucleosome assembly","4/37","42/18057",1.57912002646542e-06,6.52702944272373e-05,5.04210254064397e-05,"321618/550353/322508/562307",4
"GO:0034728","BP","GO:0034728","nucleosome organization","4/37","48/18057",2.72117119611066e-06,9.17204125092857e-05,7.08536293577674e-05,"321618/550353/322508/562307",4
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","4/37","49/18057",2.95872298417051e-06,9.17204125092857e-05,7.08536293577674e-05,"321618/550353/322508/562307",4
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","5/37","114/18057",3.4065601136646e-06,9.38696564654245e-05,7.25139111914569e-05,"321618/503753/550353/322508/562307",5
"GO:0015711","BP","GO:0015711","organic anion transport","6/37","226/18057",6.045762768543e-06,0.000149934916659866,0.000115824086723666,"445158/568032/492363/561766/567144/798635",6
"GO:0051276","BP","GO:0051276","chromosome organization","6/37","255/18057",1.20433321741128e-05,0.000271522398107269,0.000209749900065887,"796551/321618/503753/550353/322508/562307",6
"GO:0015718","BP","GO:0015718","monocarboxylic acid transport","4/37","84/18057",2.56002822658606e-05,0.000529072500161119,0.000408706260735669,"445158/568032/561766/567144",4
"GO:0065004","BP","GO:0065004","protein-DNA complex assembly","4/37","87/18057",2.94035807517982e-05,0.000560929848188151,0.000433315926868605,"321618/550353/322508/562307",4
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","4/37","94/18057",3.98732454204407e-05,0.00070632606173352,0.000545633884700767,"321618/550353/322508/562307",4
"GO:0006310","BP","GO:0006310","DNA recombination","4/37","167/18057",0.000367363737777046,0.00569413793554421,0.00439869738654094,"321618/550353/322508/562307",4
"GO:0006338","BP","GO:0006338","chromatin remodeling","4/37","167/18057",0.000367363737777046,0.00569413793554421,0.00439869738654094,"321618/550353/322508/562307",4
"GO:0010833","BP","GO:0010833","telomere maintenance via telomere lengthening","2/37","23/18057",0.00100595319680228,0.0146750819298214,0.0113364385026634,"796551/503753",2
"GO:0006325","BP","GO:0006325","chromatin organization","4/37","302/18057",0.00327999895641361,0.0436040184084815,0.0336839191440731,"321618/550353/322508/562307",4
"GO:0015807","BP","GO:0015807","L-amino acid transport","2/37","42/18057",0.00334063044258528,0.0436040184084815,0.0336839191440731,"492363/798635",2
"GO:0000723","BP","GO:0000723","telomere maintenance","2/37","45/18057",0.00382634406385252,0.0471805369624229,0.0364467645465236,"796551/503753",2
"GO:0032200","BP","GO:0032200","telomere organization","2/37","46/18057",0.00399512611375355,0.0471805369624229,0.0364467645465236,"796551/503753",2
"GO:0044815","CC","GO:0044815","DNA packaging complex","5/34","97/18405",9.0333033529391e-07,3.21434147869755e-05,2.67861789891463e-05,"321618/503753/550353/322508/562307",5
"GO:0032993","CC","GO:0032993","protein-DNA complex","5/34","105/18405",1.33930894945731e-06,3.21434147869755e-05,2.67861789891463e-05,"321618/503753/550353/322508/562307",5
"GO:0000786","CC","GO:0000786","nucleosome","4/34","69/18405",7.70614284646971e-06,0.000123298285543515,0.000102748571286263,"321618/550353/322508/562307",4
"GO:0000781","CC","GO:0000781","chromosome, telomeric region","2/34","23/18405",0.0008178956143464,0.00981474737215679,0.008178956143464,"796551/503753",2
"GO:0000785","CC","GO:0000785","chromatin","4/34","338/18405",0.00335491826487706,0.0322072153428198,0.0268393461190165,"321618/550353/322508/562307",4
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","4/37","24/17701",1.66575761379993e-07,1.16603032965995e-05,8.76714533578913e-06,"321618/550353/322508/562307",4
"GO:0031491","MF","GO:0031491","nucleosome binding","4/37","43/17701",1.8805253455317e-06,6.58183870936094e-05,4.94875090929394e-05,"321618/550353/322508/562307",4
"GO:0031490","MF","GO:0031490","chromatin DNA binding","4/37","60/17701",7.2445249850314e-06,0.000169038916317399,0.000127096929561954,"321618/550353/322508/562307",4
"GO:0008028","MF","GO:0008028","monocarboxylic acid transmembrane transporter activity","3/37","39/17701",7.2950502658378e-05,0.00127663379652162,0.000959875034978658,"445158/561766/567144",3
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","4/37","141/17701",0.000207736370316679,0.00262714392385503,0.00197529618334965,"445158/492363/561766/567144",4
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","4/37","144/17701",0.00022518376490186,0.00262714392385503,0.00197529618334965,"445158/492363/561766/567144",4
"GO:0008514","MF","GO:0008514","organic anion transmembrane transporter activity","4/37","196/17701",0.000723378495691175,0.00723378495691175,0.00543893605782839,"445158/492363/561766/567144",4
