"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","2/8","102/7368",0.00503280707519564,0.0483228562776932,0.0413287586585534,"562105/334561",2
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","2/8","112/7368",0.00604035703471164,0.0483228562776932,0.0413287586585534,"799099/492483",2
"dre00061","dre00061","Fatty acid biosynthesis - Danio rerio (zebrafish)","1/8","22/7368",0.0236500496793346,0.122643977971921,0.104892875897037,"334561",1
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","1/8","49/7368",0.0520051394432038,0.122643977971921,0.104892875897037,"558924",1
"dre00071","dre00071","Fatty acid degradation - Danio rerio (zebrafish)","1/8","56/7368",0.0592377638201772,0.122643977971921,0.104892875897037,"334561",1
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","1/8","62/7368",0.0653986796228415,0.122643977971921,0.104892875897037,"334561",1
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","1/8","68/7368",0.0715242629066746,0.122643977971921,0.104892875897037,"114426",1
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","1/8","69/7368",0.0725417705637633,0.122643977971921,0.104892875897037,"114426",1
"dre00561","dre00561","Glycerolipid metabolism - Danio rerio (zebrafish)","1/8","73/7368",0.0766020509525677,0.122643977971921,0.104892875897037,"799099",1
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","1/8","78/7368",0.0816555234667252,0.122643977971921,0.104892875897037,"334561",1
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","1/8","84/7368",0.0876877345774367,0.122643977971921,0.104892875897037,"572849",1
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","1/8","94/7368",0.0976643962572208,0.122643977971921,0.104892875897037,"334561",1
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","1/8","96/7368",0.0996482321021855,0.122643977971921,0.104892875897037,"334561",1
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","1/8","105/7368",0.108528343588052,0.124032392672059,0.106080335837945,"567640",1
"dre04150","dre04150","mTOR signaling pathway - Danio rerio (zebrafish)","1/8","208/7368",0.204831325203394,0.21848674688362,0.186863665097833,"799099",1
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","1/8","278/7368",0.264964717526521,0.264964717526521,0.226614561042419,"567640",1
