"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","16/166","93/7368",1.81106002856325e-10,1.41196979657973e-08,1.01538213615426e-08,"791210/100415792/100415791/556575/393761/553969/100415794/393724/556528/767756/492759/324340/100384895/553952/84039/406731",16
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","15/166","82/7368",2.79597979520738e-10,1.41196979657973e-08,1.01538213615426e-08,"791210/100415792/100415791/550398/553969/100415794/777793/791770/394148/767756/492759/324340/100384895/553952/406731",15
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","13/166","72/7368",5.39105176745155e-09,1.81498742837536e-07,1.30520200685669e-07,"791210/100415792/100415791/100415794/406703/553169/436833/767756/431762/100384895/557008/553952/406731",13
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","13/166","76/7368",1.07391551736723e-08,2.71163668135226e-07,1.95000449206155e-07,"791210/100415792/100415791/100415794/406703/553169/436833/767756/431762/100384895/557008/553952/406731",13
"dre00591","dre00591","Linoleic acid metabolism - Danio rerio (zebrafish)","8/166","29/7368",1.60886871195622e-07,3.24991479815156e-06,2.33709349736798e-06,"553969/560649/393108/100034366/393592/492759/324340/571738",8
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","13/166","105/7368",5.57274373412901e-07,9.38078528578384e-06,6.74595294131407e-06,"791210/100415792/100415791/100415794/402979/406703/553169/767756/561967/431762/100384895/553952/406731",13
"dre00040","dre00040","Pentose and glucuronate interconversions - Danio rerio (zebrafish)","8/166","56/7368",3.17272218446131e-05,0.000457122884991195,0.000328728286236503,"791210/100415792/100415791/100415794/767756/100384895/553952/406731",8
"dre00053","dre00053","Ascorbate and aldarate metabolism - Danio rerio (zebrafish)","8/166","57/7368",3.62077532666293e-05,0.000457122884991195,0.000328728286236503,"791210/100415792/100415791/100415794/767756/100384895/553952/406731",8
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","10/166","94/7368",4.55059958229707e-05,0.000510678397568893,0.000367241369799413,"30708/449677/445281/394148/415166/431754/436636/558239/378727/565876",10
"dre00590","dre00590","Arachidonic acid metabolism - Danio rerio (zebrafish)","8/166","63/7368",7.56647678307761e-05,0.000764214155090838,0.000549565155823532,"560649/393108/100034366/393592/751701/336492/767759/571738",8
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","8/166","67/7368",0.000118052535551633,0.00108393691733772,0.000779485641441407,"791210/100415792/100415791/100415794/767756/100384895/553952/406731",8
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","14/166","202/7368",0.000173617788026778,0.00146128304922538,0.00105084450647787,"791210/100415792/100415791/678634/100415794/492518/767756/100384895/553952/322506/84039/445287/571967/406731",14
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","5/166","28/7368",0.000352883384601715,0.00264021529099578,0.00189864361728722,"445281/394148/692332/558239/565876",5
"dre00360","dre00360","Phenylalanine metabolism - Danio rerio (zebrafish)","4/166","16/7368",0.000365970436375653,0.00264021529099578,0.00189864361728722,"561410/541429/557008/445287",4
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","6/166","47/7368",0.000596825865360206,0.00401862749342539,0.00288989366384942,"558601/563642/79378/541429/445818/436852",6
"dre04744","dre04744","Phototransduction - Danio rerio (zebrafish)","6/166","49/7368",0.000748940105346263,0.00472768441499828,0.00339979389926922,"335656/393629/100330921/30503/360151/140428",6
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","4/166","22/7368",0.00132362696609822,0.00786390138681883,0.00565512449911932,"565117/322481/100004700/564868",4
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","5/166","38/7368",0.00150293827654778,0.00843315366285143,0.00606448778256121,"445118/445049/100536353/100148922/406539",5
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","5/166","39/7368",0.0016930134348795,0.00899970299593839,0.00647190731338977,"561410/541429/557008/445287/58074",5
"dre00130","dre00130","Ubiquinone and other terpenoid-quinone biosynthesis - Danio rerio (zebrafish)","3/166","12/7368",0.00212732882548191,0.0107116736558509,0.00770302743359784,"561410/322506/445287",3
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","7/166","81/7368",0.0022271796710185,0.0107116736558509,0.00770302743359784,"445118/792692/560753/557008/282672/445505/378727",7
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","4/166","34/7368",0.00680430320777029,0.0312379374538545,0.0224639675280455,"445118/100536353/100148922/559107",4
"dre00630","dre00630","Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)","4/166","37/7368",0.00919795630114689,0.0403910254963407,0.0290461777930954,"792824/100000775/79378/436852",4
"dre01200","dre01200","Carbon metabolism - Danio rerio (zebrafish)","8/166","134/7368",0.0105852042873501,0.0445460680425984,0.0320341708696122,"792824/792692/560753/563642/79378/282672/445505/436852",8
"dre00592","dre00592","alpha-Linolenic acid metabolism - Danio rerio (zebrafish)","3/166","22/7368",0.0126263464624096,0.0510104397081348,0.0366828591960532,"560649/431754/571738",3
"dre01230","dre01230","Biosynthesis of amino acids - Danio rerio (zebrafish)","6/166","92/7368",0.0173131209891619,0.067254816150206,0.0483645889980637,"678634/792692/560753/563642/100000775/445818",6
"dre00051","dre00051","Fructose and mannose metabolism - Danio rerio (zebrafish)","4/166","45/7368",0.0180679369677846,0.0675874679165275,0.0486038070478416,"792692/560753/282672/445505",4
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","5/166","69/7368",0.0192787331983848,0.0695411447513167,0.0500087440108479,"406703/553169/436833/322533/431762",5
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","4/166","49/7368",0.0239830469175825,0.083527163402615,0.0600664332963047,"558924/571189/557317/556979",4
"dre00380","dre00380","Tryptophan metabolism - Danio rerio (zebrafish)","4/166","53/7368",0.0309466865403472,0.104187178019169,0.0749235568871564,"492518/555401/571967/557166",4
"dre00030","dre00030","Pentose phosphate pathway - Danio rerio (zebrafish)","3/166","33/7368",0.037389217093051,0.121816481496715,0.0876012217120721,"792692/282672/445505",3
"dre00270","dre00270","Cysteine and methionine metabolism - Danio rerio (zebrafish)","4/166","59/7368",0.0434110076262791,0.137015992820444,0.0985315633622783,"678634/563642/561410/445818",4
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","4/166","65/7368",0.0583142506659999,0.17847694900806,0.128347154575885,"406323/406338/322468/751641",4
"dre00910","dre00910","Nitrogen metabolism - Danio rerio (zebrafish)","2/166","21/7368",0.0801325278443424,0.238040744478782,0.171180941834663,"553246/100000775",2
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","3/166","48/7368",0.0931692200718774,0.268859749350275,0.193343644660437,"100000775/79378/556445",3
