"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","22/194","427/18057",1.28929122956808e-09,1.75988252836043e-06,1.66522140913688e-06,"563926/415205/777768/562236/554836/567457/30424/564009/100001936/321618/83774/492496/494487/550551/550353/794176/322508/571135/562307/445058/406204/559526",22
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","8/194","49/18057",4.7526734461196e-08,3.24369962697663e-05,3.0692264833625e-05,"321618/550353/794176/322508/571135/562307/445058/559526",8
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","7/194","38/18057",1.41156869350458e-07,6.42263755544583e-05,6.07717469098287e-05,"572849/321618/550353/322508/571135/562307/559526",7
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","10/194","114/18057",4.19949410462847e-07,0.000120240833807723,0.000113773281728996,"572849/321618/503753/550353/794176/322508/571135/562307/445058/559526",10
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","6/194","28/18057",4.40442614680303e-07,0.000120240833807723,0.000113773281728996,"321618/550353/322508/571135/562307/559526",6
"GO:0030261","BP","GO:0030261","chromosome condensation","6/194","31/18057",8.38005118964535e-07,0.000190646164564432,0.00018039162824026,"321618/550353/322508/571135/562307/559526",6
"GO:0006334","BP","GO:0006334","nucleosome assembly","6/194","42/18057",5.41205184447423e-06,0.000923431345963416,0.000873761528048669,"321618/550353/322508/571135/562307/559526",6
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","6/194","42/18057",5.41205184447423e-06,0.000923431345963416,0.000873761528048669,"563926/554836/564009/83774/494487/406204",6
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","4/194","14/18057",1.18855731088083e-05,0.00163812774688807,0.00155001561244007,"563926/554836/83774/406204",4
"GO:0034728","BP","GO:0034728","nucleosome organization","6/194","48/18057",1.20009358746379e-05,0.00163812774688807,0.00155001561244007,"321618/550353/322508/571135/562307/559526",6
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","4/194","15/18057",1.60715617115931e-05,0.00199433470330223,0.00188706279618418,"563926/554836/83774/406204",4
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","5/194","35/18057",3.39645272041935e-05,0.00386346496947701,0.00365565569118819,"563926/554836/83774/494487/406204",5
"GO:0007623","BP","GO:0007623","circadian rhythm","7/194","88/18057",4.51539678760356e-05,0.00474116662698374,0.00448614725375674,"563926/569109/554836/564009/83774/494487/406204",7
"GO:0051253","BP","GO:0051253","negative regulation of RNA metabolic process","14/194","378/18057",6.14917171699382e-05,0.00599544242406898,0.00567295766673039,"563926/415205/777768/562236/554836/567457/30424/564009/100001936/83774/492496/494487/550551/406204",14
"GO:0009648","BP","GO:0009648","photoperiodism","4/194","22/18057",8.11985145084261e-05,0.00738906482026678,0.00699161945977817,"563926/554836/83774/406204",4
"GO:0065004","BP","GO:0065004","protein-DNA complex assembly","6/194","87/18057",0.000349231948726155,0.025705959818459,0.0243232795043372,"321618/550353/322508/571135/562307/559526",6
"GO:0048511","BP","GO:0048511","rhythmic process","7/194","122/18057",0.000350737271282315,0.025705959818459,0.0243232795043372,"563926/569109/554836/564009/83774/494487/406204",7
"GO:0045892","BP","GO:0045892","negative regulation of DNA-templated transcription","12/194","345/18057",0.000366975368955112,0.025705959818459,0.0243232795043372,"563926/415205/554836/567457/30424/564009/100001936/83774/492496/494487/550551/406204",12
"GO:1902679","BP","GO:1902679","negative regulation of RNA biosynthetic process","12/194","346/18057",0.000376644099904161,0.025705959818459,0.0243232795043372,"563926/415205/554836/567457/30424/564009/100001936/83774/492496/494487/550551/406204",12
"GO:1903507","BP","GO:1903507","negative regulation of nucleic acid-templated transcription","12/194","346/18057",0.000376644099904161,0.025705959818459,0.0243232795043372,"563926/415205/554836/567457/30424/564009/100001936/83774/492496/494487/550551/406204",12
"GO:0006310","BP","GO:0006310","DNA recombination","8/194","167/18057",0.000454062711673551,0.0281725273379272,0.0266571745082989,"572849/565458/321618/550353/322508/571135/562307/559526",8
"GO:0006338","BP","GO:0006338","chromatin remodeling","8/194","167/18057",0.000454062711673551,0.0281725273379272,0.0266571745082989,"327168/566775/321618/550353/322508/571135/562307/559526",8
"GO:0071824","BP","GO:0071824","protein-DNA complex subunit organization","6/194","94/18057",0.000529265983208302,0.0314107855251883,0.02972125223783,"321618/550353/322508/571135/562307/559526",6
"GO:0000786","CC","GO:0000786","nucleosome","7/199","69/18405",9.51343865480749e-06,0.000793111225464087,0.000737273593049323,"321618/550353/322508/571135/562307/794406/559526",7
"GO:0044815","CC","GO:0044815","DNA packaging complex","8/199","97/18405",1.03001457852479e-05,0.000793111225464087,0.000737273593049323,"321618/503753/550353/322508/571135/562307/794406/559526",8
"GO:0032993","CC","GO:0032993","protein-DNA complex","8/199","105/18405",1.84610281519964e-05,0.000947666111802484,0.000880947308305795,"321618/503753/550353/322508/571135/562307/794406/559526",8
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","6/191","24/17701",1.67066649756189e-07,5.07882615258815e-05,4.69545215630553e-05,"321618/550353/322508/571135/562307/559526",6
"GO:0031491","MF","GO:0031491","nucleosome binding","6/191","43/17701",6.38184172057889e-06,0.000970039941527991,0.000896816704944507,"321618/550353/322508/571135/562307/559526",6
"GO:0031490","MF","GO:0031490","chromatin DNA binding","6/191","60/17701",4.50168713444188e-05,0.00456170962956777,0.0042173700522666,"321618/550353/322508/571135/562307/559526",6
"GO:0003682","MF","GO:0003682","chromatin binding","10/191","255/17701",0.000463107706499267,0.0351961856939443,0.0325394099040274,"415205/572849/415104/566775/321618/550353/322508/571135/562307/559526",10
