"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","9/128","94/7368",3.32965892809654e-05,0.00349614187450137,0.00311936468000624,"30708/768196/394148/334529/415166/436636/565876/723999/322341",9
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","5/128","28/7368",0.000104340480419432,0.0054778752220202,0.00488752776701551,"394148/553653/565876/723999/322341",5
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","8/128","93/7368",0.000196965669960801,0.00619940597852847,0.00553129956981487,"791210/393761/553969/100384893/325875/494176/553952/100004076",8
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","10/128","148/7368",0.000236167846801085,0.00619940597852847,0.00553129956981487,"406599/573619/415243/445122/559659/406306/402883/798291/445042/100332034",10
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","7/128","82/7368",0.000522558101855667,0.010973720138969,0.00979108864529566,"791210/550398/553969/100384893/791770/394148/553952",7
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","12/128","254/7368",0.0014775520441524,0.0258571607726669,0.0230705494613269,"266676/100037358/795537/566034/324244/100329748/100329813/492493/558627/560592/100537244/100331199",12
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","3/128","22/7368",0.00619524212103326,0.0929286318154988,0.0829137667326255,"793309/565117/436600",3
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","4/128","47/7368",0.0087071023410326,0.114280718226053,0.101964751098934,"558601/541329/79378/541429",4
"dre00920","dre00920","Sulfur metabolism - Danio rerio (zebrafish)","2/128","10/7368",0.0123006130323433,0.143507152044006,0.128041468991644,"405865/436627",2
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","3/128","38/7368",0.02776705657413,0.291554094028365,0.260133477378692,"393400/100148922/406539",3
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","4/128","69/7368",0.0315725557908514,0.291783380686052,0.26033805394545,"553169/100149204/322533/555478",4
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","5/128","105/7368",0.0356194176036497,0.291783380686052,0.26033805394545,"791210/100384893/335716/553169/553952",5
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","4/128","72/7368",0.0361255614182732,0.291783380686052,0.26033805394545,"791210/100384893/553169/553952",4
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","6/128","145/7368",0.0401785791080775,0.29930356131938,0.267047789046865,"100037358/324244/100329748/100329813/100537244/100331199",6
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","4/128","76/7368",0.0427576516170543,0.29930356131938,0.267047789046865,"791210/100384893/553169/553952",4
"dre00785","dre00785","Lipoic acid metabolism - Danio rerio (zebrafish)","2/128","20/7368",0.0463993389769286,0.304495662036094,0.271680340062279,"541329/436672",2
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","7/128","202/7368",0.0616423900968863,0.380732409421945,0.339701097128352,"791210/678634/100384893/335716/368242/494176/553952",7
