"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","7/70","182/7368",0.00161290069561092,0.113655192973675,0.111091542004344,"393285/563719/568155/100001936/403037/58092/793200",7
"dre04140","dre04140","Autophagy - animal - Danio rerio (zebrafish)","7/70","200/7368",0.00275670678188174,0.113655192973675,0.111091542004344,"407723/393285/378866/568155/65225/564921/793200",7
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","4/70","69/7368",0.00405911403477412,0.113655192973675,0.111091542004344,"794084/723997/114426/352928",4
"dre03013","dre03013","Nucleocytoplasmic transport - Danio rerio (zebrafish)","4/70","110/7368",0.0202911123032897,0.426113358369083,0.416501778856998,"568424/563392/333980/393973",4
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","5/70","180/7368",0.0277675968240255,0.466495626643629,0.455973168899787,"393285/321224/436649/564921/100001260",5
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","3/70","81/7368",0.0414061108659089,0.579685552122725,0.56660993816507,"565241/564921/368243",3
"dre00051","dre00051","Fructose and mannose metabolism - Danio rerio (zebrafish)","2/70","45/7368",0.0678159043779272,0.765710252448037,0.748438592618382,"321224/554477",2
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","4/70","202/7368",0.125043499468868,0.765710252448037,0.748438592618382,"326710/327197/560210/406314",4
"dre01200","dre01200","Carbon metabolism - Danio rerio (zebrafish)","3/70","134/7368",0.134392315424992,0.765710252448037,0.748438592618382,"407673/321224/406688",3
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/70","68/7368",0.136127544709188,0.765710252448037,0.748438592618382,"114426/406688",2
"dre00360","dre00360","Phenylalanine metabolism - Danio rerio (zebrafish)","1/70","16/7368",0.14177743349643,0.765710252448037,0.748438592618382,"406688",1
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","2/70","72/7368",0.149192739468922,0.765710252448037,0.748438592618382,"723997/767705",2
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","2/70","76/7368",0.162502053249362,0.765710252448037,0.748438592618382,"723997/767705",2
"dre04310","dre04310","Wnt signaling pathway - Danio rerio (zebrafish)","4/70","225/7368",0.165095384552134,0.765710252448037,0.748438592618382,"565241/100000500/30206/58092",4
"dre00533","dre00533","Glycosaminoglycan biosynthesis - keratan sulfate - Danio rerio (zebrafish)","1/70","22/7368",0.189668978075903,0.765710252448037,0.748438592618382,"558930",1
"dre00900","dre00900","Terpenoid backbone biosynthesis - Danio rerio (zebrafish)","1/70","22/7368",0.189668978075903,0.765710252448037,0.748438592618382,"334380",1
"dre03018","dre03018","RNA degradation - Danio rerio (zebrafish)","2/70","86/7368",0.196613434286591,0.765710252448037,0.748438592618382,"565659/560362",2
"dre01210","dre01210","2-Oxocarboxylic acid metabolism - Danio rerio (zebrafish)","1/70","23/7368",0.197390618633306,0.765710252448037,0.748438592618382,"406688",1
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","6/70","420/7368",0.207803875045817,0.765710252448037,0.748438592618382,"793952/565241/562529/353314/368243/560210",6
"dre03083","dre03083","Polycomb repressive complex - Danio rerio (zebrafish)","2/70","90/7368",0.210509223612066,0.765710252448037,0.748438592618382,"568473/550551",2
"dre01230","dre01230","Biosynthesis of amino acids - Danio rerio (zebrafish)","2/70","92/7368",0.217496249622966,0.765710252448037,0.748438592618382,"407673/406688",2
"dre04137","dre04137","Mitophagy - animal - Danio rerio (zebrafish)","2/70","94/7368",0.224504827957247,0.765710252448037,0.748438592618382,"568155/793200",2
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","1/70","31/7368",0.256608020646633,0.765710252448037,0.748438592618382,"406688",1
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","2/70","105/7368",0.263297254365323,0.765710252448037,0.748438592618382,"723997/767705",2
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","2/70","105/7368",0.263297254365323,0.765710252448037,0.748438592618382,"567640/567928",2
"dre00030","dre00030","Pentose phosphate pathway - Danio rerio (zebrafish)","1/70","33/7368",0.270726247455978,0.765710252448037,0.748438592618382,"407673",1
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","4/70","278/7368",0.270999722903466,0.765710252448037,0.748438592618382,"567640/567928/564921/562529",4
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","1/70","34/7368",0.277685915169418,0.765710252448037,0.748438592618382,"321224",1
"dre04136","dre04136","Autophagy - other - Danio rerio (zebrafish)","1/70","34/7368",0.277685915169418,0.765710252448037,0.748438592618382,"793200",1
"dre00630","dre00630","Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)","1/70","37/7368",0.298174472355457,0.765710252448037,0.748438592618382,"550372",1
