"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009266","BP","GO:0009266","response to temperature stimulus","5/92","48/18057",4.43093928393876e-06,0.00390365750915004,0.00368933997220585,"323922/140633/565155/100126123/406204",5
"GO:0009628","BP","GO:0009628","response to abiotic stimulus","10/92","370/18057",1.87362788165304e-05,0.00766493053108463,0.00724411261137218,"323922/30674/560477/140633/565155/100126123/100003956/378848/550268/406204",10
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","4/92","35/18057",2.92761035464233e-05,0.00766493053108463,0.00724411261137218,"140633/494487/100003956/406204",4
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","3/92","14/18057",4.4733328046307e-05,0.00766493053108463,0.00724411261137218,"140633/100003956/406204",3
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","3/92","15/18057",5.57103875109576e-05,0.00766493053108463,0.00724411261137218,"140633/100003956/406204",3
"GO:0042542","BP","GO:0042542","response to hydrogen peroxide","3/92","15/18057",5.57103875109576e-05,0.00766493053108463,0.00724411261137218,"140633/100003956/550268",3
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","4/92","42/18057",6.09018316885271e-05,0.00766493053108463,0.00724411261137218,"140633/494487/100003956/406204",4
"GO:0006457","BP","GO:0006457","protein folding","6/92","140/18057",8.04900523230154e-05,0.0084541584431343,0.00799001054844284,"323922/327244/562019/565155/445177/378848",6
"GO:0007623","BP","GO:0007623","circadian rhythm","5/92","88/18057",8.63648422113607e-05,0.0084541584431343,0.00799001054844284,"140633/494487/100003956/58118/406204",5
"GO:0007622","BP","GO:0007622","rhythmic behavior","3/92","20/18057",0.000137028026676957,0.0109746992274908,0.010372169292007,"140633/494487/58118",3
"GO:0048512","BP","GO:0048512","circadian behavior","3/92","20/18057",0.000137028026676957,0.0109746992274908,0.010372169292007,"140633/494487/58118",3
"GO:0009408","BP","GO:0009408","response to heat","3/92","22/18057",0.00018374668629639,0.0124523715867015,0.0117687148874854,"323922/565155/100126123",3
"GO:0009648","BP","GO:0009648","photoperiodism","3/92","22/18057",0.00018374668629639,0.0124523715867015,0.0117687148874854,"140633/100003956/406204",3
"GO:0010035","BP","GO:0010035","response to inorganic substance","5/92","107/18057",0.000217222885561121,0.0136695258699534,0.0129190452991614,"140633/100126123/100003956/550268/555728",5
"GO:0009314","BP","GO:0009314","response to radiation","6/92","176/18057",0.000280700437694955,0.0164864723739503,0.0155813365766112,"30674/560477/140633/100003956/550268/406204",6
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","3/92","28/18057",0.000382325675123895,0.020674523603679,0.0195394565631281,"327244/445177/378848",3
"GO:0048511","BP","GO:0048511","rhythmic process","5/92","122/18057",0.000398940864089151,0.020674523603679,0.0195394565631281,"140633/494487/100003956/58118/406204",5
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","3/92","29/18057",0.000424871651386836,0.0207951069373223,0.0196534196635665,"327244/445177/378848",3
"GO:0006458","BP","GO:0006458","'de novo' protein folding","3/92","30/18057",0.000470343583478574,0.0218090893181381,0.0206117326610278,"327244/445177/378848",3
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","3/92","31/18057",0.000518822978544402,0.0228541522048809,0.0215994197909801,"140633/100003956/550268",3
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","3/92","35/18057",0.000744395625924223,0.0312291688780591,0.0295146335892762,"327244/445177/378848",3
