"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","14/96","93/7368",9.83963006538875e-12,8.36368555558044e-10,6.7323784657923e-10,"791210/100415792/100415791/556575/393761/553969/563241/393724/556528/767756/492759/100384895/407663/406731",14
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","10/96","82/7368",8.65165597728842e-08,3.67695379034758e-06,2.95977704486183e-06,"791210/100415792/100415791/550398/553969/394148/767756/492759/100384895/406731",10
"dre00040","dre00040","Pentose and glucuronate interconversions - Danio rerio (zebrafish)","6/96","56/7368",8.02729269224955e-05,0.00188662060496704,0.00151864197303848,"791210/100415792/100415791/767756/100384895/406731",6
"dre00053","dre00053","Ascorbate and aldarate metabolism - Danio rerio (zebrafish)","6/96","57/7368",8.87821461160959e-05,0.00188662060496704,0.00151864197303848,"791210/100415792/100415791/767756/100384895/406731",6
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","4/96","22/7368",0.000165372050652836,0.00281132486109821,0.00226298595630196,"494054/565117/322481/100004700",4
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","6/96","67/7368",0.000219899166599915,0.0031152381934988,0.00250762207526219,"791210/100415792/100415791/767756/100384895/406731",6
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","6/96","72/7368",0.000326738659382987,0.00396754086393627,0.00319368614434499,"791210/100415792/100415791/767756/100384895/406731",6
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","7/96","105/7368",0.000411496927234044,0.00414120535760641,0.00333347799683488,"791210/100415792/100415791/767756/561967/100384895/406731",7
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","6/96","76/7368",0.000438480567275973,0.00414120535760641,0.00333347799683488,"791210/100415792/100415791/767756/100384895/406731",6
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","4/96","38/7368",0.00142288590108893,0.0120945301592559,0.00973553511271374,"445118/445049/100148922/406539",4
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","8/96","202/7368",0.0046764542458145,0.0361362373540211,0.0290879929165495,"791210/100415792/100415791/767756/100384895/407663/571967/406731",8
"dre00591","dre00591","Linoleic acid metabolism - Danio rerio (zebrafish)","3/96","29/7368",0.00612779863255919,0.0434052403139609,0.0349392027295042,"553969/100034366/492759",3
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","7/96","182/7368",0.00939185319744039,0.0581401779149519,0.046800143213274,"445118/100001936/402792/393707/378727/793200/100151464",7
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","3/96","34/7368",0.00957602930363913,0.0581401779149519,0.046800143213274,"445118/100148922/559107",3
"dre00561","dre00561","Glycerolipid metabolism - Danio rerio (zebrafish)","4/96","73/7368",0.0148520477590924,0.0841616039681903,0.0677461827607724,"450063/799099/565117/322481",4
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","3/96","48/7368",0.0242943206913992,0.129063578673058,0.103890187167168,"406688/79378/447815",3
"dre00380","dre00380","Tryptophan metabolism - Danio rerio (zebrafish)","3/96","53/7368",0.0314158307887129,0.157079153943564,0.126441424227018,"555401/571967/557166",3
"dre00340","dre00340","Histidine metabolism - Danio rerio (zebrafish)","2/96","26/7368",0.0445861364899359,0.205357000024091,0.165302848316606,"555401/100004331",2
"dre04140","dre04140","Autophagy - animal - Danio rerio (zebrafish)","6/96","200/7368",0.0459033294171498,0.205357000024091,0.165302848316606,"407723/792689/65225/402792/793200/100170793",6
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","4/96","106/7368",0.0491569197947518,0.208916909127695,0.168168409824151,"406463/394198/403139/403138",4
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","3/96","65/7368",0.0524485136279733,0.212291602779892,0.17088488149465,"406323/406338/322468",3
"dre04136","dre04136","Autophagy - other - Danio rerio (zebrafish)","2/96","34/7368",0.0720137861759491,0.27823508295253,0.223966320642904,"792689/793200",2
"dre04625","dre04625","C-type lectin receptor signaling pathway - Danio rerio (zebrafish)","4/96","129/7368",0.0873238297039909,0.322718501079966,0.259773406442078,"565241/565656/406463/565200",4
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","2/96","39/7368",0.0912760674861779,0.323269405680213,0.260216859061472,"406688/58074",2
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","3/96","94/7368",0.123675580999663,0.391231223757446,0.314922966492062,"394148/100004228/378727",3
"dre04137","dre04137","Mitophagy - animal - Danio rerio (zebrafish)","3/96","94/7368",0.123675580999663,0.391231223757446,0.314922966492062,"402792/793200/100170793",3
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","5/96","204/7368",0.126822618328602,0.391231223757446,0.314922966492062,"30491/565074/565338/406463/565200",5
