"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","8/39","202/7368",8.23153279726056e-06,0.000353955910282204,0.00030326699779381,"323922/327244/791986/562019/565155/100126123/445177/378848",8
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","6/39","148/7368",0.000112040217596788,0.00240886467833094,0.00206389874520399,"415243/445122/100333064/559659/406306/798291",6
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","2/39","22/7368",0.00589893362557711,0.0568167052184217,0.048680163589835,"793309/563369",2
"dre03060","dre03060","Protein export - Danio rerio (zebrafish)","2/39","22/7368",0.00589893362557711,0.0568167052184217,0.048680163589835,"791986/378848",2
"dre03040","dre03040","Spliceosome - Danio rerio (zebrafish)","4/39","143/7368",0.00660659363004904,0.0568167052184217,0.048680163589835,"558760/368893/100126123/560127",4
"dre03015","dre03015","mRNA surveillance pathway - Danio rerio (zebrafish)","3/39","99/7368",0.0151566818103979,0.108622886307851,0.0930673444498115,"558760/368893/560127",3
"dre03420","dre03420","Nucleotide excision repair - Danio rerio (zebrafish)","2/39","59/7368",0.0386529917698904,0.237439806586469,0.203436798788897,"560477/751713",2
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/39","68/7368",0.0499622543135776,0.247103252351678,0.211716372883934,"373132/619259",2
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","1/39","10/7368",0.0517192853759325,0.247103252351678,0.211716372883934,"619259",1
"dre03266","dre03266","Virion - Herpesvirus - Danio rerio (zebrafish)","1/39","12/7368",0.0617457699247864,0.265506810676582,0.227484415512371,"564266",1
"dre03013","dre03013","Nucleocytoplasmic transport - Danio rerio (zebrafish)","2/39","110/7368",0.114679830395205,0.448293882453982,0.384095125725566,"368893/560127",2
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","2/39","138/7368",0.165270640730953,0.505700379991092,0.433280619331413,"436759/436760",2
"dre01040","dre01040","Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)","1/39","35/7368",0.169878913695762,0.505700379991092,0.433280619331413,"327274",1
"dre03022","dre03022","Basal transcription factors - Danio rerio (zebrafish)","1/39","40/7368",0.191725927907488,0.505700379991092,0.433280619331413,"751713",1
