"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","40/268","420/7368",1.36307655059051e-08,1.39033808160232e-06,1.29133567950679e-06,"100007677/101885162/497629/558859/565241/573376/564518/569528/403310/65236/100151551/386966/100000665/563441/565173/561262/245701/560932/100331895/103910147/30256/100034609/562796/245700/562529/792928/567833/562059/560875/794222/170581/553520/570240/558321/415099/30223/560210/562422/569836/568412",40
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","34/268","391/7368",1.59296149617399e-06,8.12410363048736e-05,7.54560708713996e-05,"100007677/101885162/565241/569528/403310/386966/100333648/100126126/768182/560561/100332913/100149482/570245/493613/557026/562796/568512/100005700/558525/568668/795916/260440/562059/560875/352938/170581/60658/570240/567611/798498/387298/569836/564465/568126",34
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","23/268","341/7368",0.00301873670453879,0.0840312270376212,0.0780475792919082,"573376/561879/567272/100329879/100004931/555340/492695/245701/562949/557061/568170/100334106/100330031/792928/324332/573631/796454/767667/571626/58092/560210/474327/563561",23
"dre04330","dre04330","Notch signaling pathway - Danio rerio (zebrafish)","9/268","84/7368",0.00329534223676946,0.0840312270376212,0.0780475792919082,"100037355/559273/566455/563942/557340/100330031/794892/563306/793927",9
"dre04520","dre04520","Adherens junction - Danio rerio (zebrafish)","12/268","148/7368",0.00751997181423219,0.153407425010337,0.142483676480189,"57934/386966/559273/791177/30502/245701/560933/560317/245700/792928/562750/58092",12
"dre04350","dre04350","TGF-beta signaling pathway - Danio rerio (zebrafish)","12/268","153/7368",0.00969773534323551,0.164861500835004,0.153122136998455,"100332902/559273/560317/100331938/792928/393246/100535338/562822/58092/116992/797559/555655",12
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","7/268","73/7368",0.0163984322742592,0.220064110732741,0.204393910897283,"557383/559273/565819/563942/556421/797545/100330881",7
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","16/268","249/7368",0.0191034851285747,0.220064110732741,0.204393910897283,"403310/100126126/560561/565910/565173/557026/568512/558525/570772/566868/260440/794222/170581/798498/558752/562422",16
"dre04012","dre04012","ErbB signaling pathway - Danio rerio (zebrafish)","9/268","111/7368",0.0194174215352419,0.220064110732741,0.204393910897283,"100007677/101885162/561737/65236/386966/445474/100536197/404211/569836",9
"dre04218","dre04218","Cellular senescence - Danio rerio (zebrafish)","13/268","201/7368",0.0313620542370908,0.319892953218326,0.297114198035597,"565241/561737/403310/768182/557551/569156/404211/572042/792928/565038/567611/415099/58092",13
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","16/268","278/7368",0.0461283579882205,0.410511730769107,0.381280245296384,"57934/100536533/561737/65236/386966/100536197/245701/404211/321243/562529/570772/569971/565038/565130/100005469/100331333",16
"dre04371","dre04371","Apelin signaling pathway - Danio rerio (zebrafish)","12/268","193/7368",0.0485838065112635,0.410511730769107,0.381280245296384,"100126126/560561/570245/560317/557026/572074/568512/792928/60658/567611/58092/568877",12
"dre04137","dre04137","Mitophagy - animal - Danio rerio (zebrafish)","7/268","94/7368",0.0545875103424623,0.410511730769107,0.381280245296384,"564996/65236/559564/30502/558848/415099/114834",7
"dre04140","dre04140","Autophagy - animal - Danio rerio (zebrafish)","12/268","200/7368",0.0605180322634536,0.410511730769107,0.381280245296384,"561737/65236/100001785/569326/559564/245701/404211/572074/558848/570772/558696/567611",12
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","11/268","182/7368",0.0675670588367383,0.410511730769107,0.381280245296384,"561737/65236/559273/245701/560317/404211/572074/245700/792928/565038/58092",11
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","12/268","204/7368",0.0681467935299523,0.410511730769107,0.381280245296384,"564853/561737/565338/100329124/559564/557055/560933/404211/570772/565774/415099/556399",12
"dre03266","dre03266","Virion - Herpesvirus - Danio rerio (zebrafish)","2/268","12/7368",0.0684186217948511,0.410511730769107,0.381280245296384,"560933/557061",2
"dre00510","dre00510","N-Glycan biosynthesis - Danio rerio (zebrafish)","5/268","63/7368",0.0782114990361287,0.443198494538062,0.411639468611204,"100333333/100536673/799960/101884072/570828",5
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","7/268","105/7368",0.0873819486947309,0.469103092992766,0.435699467175943,"100536533/321243/565429/569971/562345/100005469/100331333",7
"dre04540","dre04540","Gap junction - Danio rerio (zebrafish)","8/268","132/7368",0.107607348689149,0.502462644942851,0.46668357115435,"394005/100332913/100330875/493613/557026/558321/567611/568126",8
"dre03083","dre03083","Polycomb repressive complex - Danio rerio (zebrafish)","6/268","90/7368",0.108870466848487,0.502462644942851,0.46668357115435,"564853/559273/568473/100150267/558560/100001914",6
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","11/268","201/7368",0.11503119740615,0.502462644942851,0.46668357115435,"57934/561737/65236/100001785/569326/559564/404211/570772/567611/415099/100002454",11
"dre00534","dre00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Danio rerio (zebrafish)","3/268","33/7368",0.116902152356881,0.502462644942851,0.46668357115435,"497280/560951/563446",3
"dre04310","dre04310","Wnt signaling pathway - Danio rerio (zebrafish)","12/268","225/7368",0.118226504692435,0.502462644942851,0.46668357115435,"565241/565771/65236/559273/100000500/30502/798465/560317/751644/565038/556813/58092",12
"dre04070","dre04070","Phosphatidylinositol signaling system - Danio rerio (zebrafish)","7/268","119/7368",0.142172740762357,0.580064782310418,0.538759859731039,"559198/556956/561737/566642/404211/567611/100137124",7
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","8/268","145/7368",0.157771465298028,0.618949594630725,0.574875784486741,"403310/100126126/560561/568512/260440/794222/170581/562422",8
"dre00512","dre00512","Mucin type O-glycan biosynthesis - Danio rerio (zebrafish)","3/268","39/7368",0.167919118111991,0.63436111286752,0.589189888112248,"559736/322609/724080",3
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","5/268","84/7368",0.190111007335638,0.692547241008397,0.643232731586746,"100000709/557048/564592/559945/796720",5
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","10/268","202/7368",0.200339330466653,0.695796296933071,0.646250430587992,"323922/327244/573376/65236/559564/541528/570772/327197/560210/100001914",10
"dre04912","dre04912","GnRH signaling pathway - Danio rerio (zebrafish)","7/268","132/7368",0.204645969686197,0.695796296933071,0.646250430587992,"403310/65236/493613/557026/170581/558321/567611",7
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","6/268","112/7368",0.222547413895412,0.730785819636117,0.678748439290511,"561737/65236/100005268/245701/404211/557026",6
"dre04115","dre04115","p53 signaling pathway - Danio rerio (zebrafish)","5/268","90/7368",0.229266139493684,0.730785819636117,0.678748439290511,"561535/100147851/570772/565038/368221",5
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","5/268","96/7368",0.270514016363193,0.800906580673529,0.743876081120925,"65236/30530/572074/100333227/415099",5
"dre00600","dre00600","Sphingolipid metabolism - Danio rerio (zebrafish)","4/268","74/7368",0.282375124917787,0.800906580673529,0.743876081120925,"553508/724080/568381/794598",4
"dre03460","dre03460","Fanconi anemia pathway - Danio rerio (zebrafish)","3/268","51/7368",0.283224064764542,0.800906580673529,0.743876081120925,"569100/100538153/100001845",3
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","8/268","173/7368",0.293977949374122,0.800906580673529,0.743876081120925,"65236/768182/570772/557239/567611/415099/387298/799412",8
"dre00515","dre00515","Mannose type O-glycan biosynthesis - Danio rerio (zebrafish)","2/268","30/7368",0.298376961427393,0.800906580673529,0.743876081120925,"101884072/446213",2
"dre00532","dre00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Danio rerio (zebrafish)","2/268","30/7368",0.298376961427393,0.800906580673529,0.743876081120925,"560951/563446",2
"dre04270","dre04270","Vascular smooth muscle contraction - Danio rerio (zebrafish)","8/268","177/7368",0.315578989414863,0.807959651984866,0.750426921348172,"403310/394005/100330875/493613/557026/170581/567611/798498",8
"dre04625","dre04625","C-type lectin receptor signaling pathway - Danio rerio (zebrafish)","6/268","129/7368",0.32863769769122,0.807959651984866,0.750426921348172,"565241/561737/65236/404211/567611/415099",6
"dre00030","dre00030","Pentose phosphate pathway - Danio rerio (zebrafish)","2/268","33/7368",0.338944246874515,0.807959651984866,0.750426921348172,"407673/568001",2
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","4/268","81/7368",0.340361491223162,0.807959651984866,0.750426921348172,"565241/561737/404211/565130",4
"dre04150","dre04150","mTOR signaling pathway - Danio rerio (zebrafish)","9/268","208/7368",0.344975117972979,0.807959651984866,0.750426921348172,"561737/562032/245701/751644/404211/572074/558848/245700/557634",9
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","8/268","183/7368",0.348531614581707,0.807959651984866,0.750426921348172,"57934/100536533/100538038/100001785/569326/100332402/492695/60658",8
"dre04120","dre04120","Ubiquitin mediated proteolysis - Danio rerio (zebrafish)","7/268","161/7368",0.369819260512327,0.838256990494608,0.778566864236479,"100537290/796547/100330031/556864/553415/100001914/100330952",7
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","7/268","166/7368",0.399893395607585,0.883624420612507,0.820703796234527,"394077/100330875/550586/550560/557026/571011/564465",7
"dre03082","dre03082","ATP-dependent chromatin remodeling - Danio rerio (zebrafish)","6/268","141/7368",0.407160272243018,0.883624420612507,0.820703796234527,"57934/557263/563456/562738/562355/110440037",6
"dre04622","dre04622","RIG-I-like receptor signaling pathway - Danio rerio (zebrafish)","3/268","67/7368",0.442512871617274,0.908876994307664,0.844158199047366,"65236/559568/415099",3
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","10/268","254/7368",0.445070639810216,0.908876994307664,0.844158199047366,"57934/570502/100332402/569545/562188/562052/100149148/566674/100537719/474327",10
"dre04916","dre04916","Melanogenesis - Danio rerio (zebrafish)","6/268","147/7368",0.446331706187487,0.908876994307664,0.844158199047366,"497629/559273/30207/751644/557026/30256",6
"dre04340","dre04340","Hedgehog signaling pathway - Danio rerio (zebrafish)","3/268","69/7368",0.461685818287797,0.908876994307664,0.844158199047366,"570772/565038/30189",3
"dre00604","dre00604","Glycosphingolipid biosynthesis - ganglio series - Danio rerio (zebrafish)","1/268","17/7368",0.467713577835318,0.908876994307664,0.844158199047366,"322609",1
"dre00562","dre00562","Inositol phosphate metabolism - Danio rerio (zebrafish)","4/268","97/7368",0.472259614689276,0.908876994307664,0.844158199047366,"559198/556956/561737/100317089",4
"dre00561","dre00561","Glycerolipid metabolism - Danio rerio (zebrafish)","3/268","73/7368",0.499140810771748,0.911219280663436,0.846333697210621,"406265/794598/100137124",3
"dre04810","dre04810","Regulation of actin cytoskeleton - Danio rerio (zebrafish)","12/268","321/7368",0.504046412527405,0.911219280663436,0.846333697210621,"57934/100536533/565771/561737/791177/100536197/404211/352938/565774/565130/100005469/100331333",12
"dre04142","dre04142","Lysosome - Danio rerio (zebrafish)","7/268","184/7368",0.506873985655193,0.911219280663436,0.846333697210621,"100001785/569326/100329879/557061/100538007/795916/100334661",7
"dre00430","dre00430","Taurine and hypotaurine metabolism - Danio rerio (zebrafish)","1/268","20/7368",0.523841942846254,0.911219280663436,0.846333697210621,"100329827",1
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","2/268","48/7368",0.525814338314083,0.911219280663436,0.846333697210621,"557232/100329827",2
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","2/268","49/7368",0.536985560923188,0.911219280663436,0.846333697210621,"100151075/336563",2
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","4/268","106/7368",0.542252792126557,0.911219280663436,0.846333697210621,"561737/65236/404211/415099",4
"dre04514","dre04514","Cell adhesion molecules - Danio rerio (zebrafish)","7/268","194/7368",0.563618754489231,0.911219280663436,0.846333697210621,"562934/100004469/560933/140820/566220/100331333/100147967",7
"dre04060","dre04060","Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)","8/268","224/7368",0.57276910733794,0.911219280663436,0.846333697210621,"100332902/100329124/100331938/792928/541493/562822/555655/796370",8
"dre00563","dre00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Danio rerio (zebrafish)","1/268","23/7368",0.574071447532623,0.911219280663436,0.846333697210621,"100147850",1
"dre00513","dre00513","Various types of N-glycan biosynthesis - Danio rerio (zebrafish)","2/268","53/7368",0.579838895444824,0.911219280663436,0.846333697210621,"100333333/100536673",2
"dre00531","dre00531","Glycosaminoglycan degradation - Danio rerio (zebrafish)","1/268","24/7368",0.5896124757234,0.911219280663436,0.846333697210621,"100538007",1
"dre00650","dre00650","Butanoate metabolism - Danio rerio (zebrafish)","1/268","24/7368",0.5896124757234,0.911219280663436,0.846333697210621,"100329827",1
"dre00565","dre00565","Ether lipid metabolism - Danio rerio (zebrafish)","2/268","56/7368",0.610029583591444,0.915072985927801,0.849912990025821,"553508/794598",2
"dre03018","dre03018","RNA degradation - Danio rerio (zebrafish)","3/268","86/7368",0.610774521008737,0.915072985927801,0.849912990025821,"327627/568001/560362",3
"dre00340","dre00340","Histidine metabolism - Danio rerio (zebrafish)","1/268","26/7368",0.619019961068807,0.915072985927801,0.849912990025821,"557232",1
