"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000102097","ENSDARG00000102097",129.926631939249,-0.829280936178807,0.196671180525997,-4.21658594798127,2.48028780398128e-05,0.000319917757065903,"nfkbiz","DOWN","nfkbiz"
"ENSDARG00000014313","ENSDARG00000014313",1052.12313348723,-0.754077025853281,0.183815203216408,-4.10236483521712,4.08948760790704e-05,0.000491032617846304,"atp5pf","DOWN","atp5pf"
"ENSDARG00000077688","ENSDARG00000077688",10.8727405067308,-1.8252218058887,0.63520117346069,-2.87345471348009,0.00406009281990158,0.0208653853244427,"cpo","DOWN","cpo"
"ENSDARG00000073857","ENSDARG00000073857",144.612370743039,0.666118460614161,0.171446725161838,3.88527958166232,0.000102212192642246,0.00104870742097335,"klf7a","UP","klf7a"
"ENSDARG00000063207","ENSDARG00000063207",81.8297195044004,0.627687608159097,0.22319036263041,2.81234189846499,0.00491821950317264,0.0241866889667825,"erbb4a","UP","erbb4a"
"ENSDARG00000090408","ENSDARG00000090408",23.2248855420993,1.81330273934362,0.452912048039789,4.00365313131242,6.23717964246532e-05,0.000704326317046598,"","UP",""
"ENSDARG00000037713","ENSDARG00000037713",310.737904811775,-0.604931065951137,0.121112361104476,-4.99479211233693,5.88991784977942e-07,1.28798365035812e-05,"pcnp","DOWN","pcnp"
"ENSDARG00000076176","ENSDARG00000076176",113.835403541025,0.698561655071262,0.223755171045457,3.12199111112094,0.00179632362185341,0.010907116375711,"ptcd1","UP","ptcd1"
"ENSDARG00000007443","ENSDARG00000007443",60.9418138096877,0.851651482171349,0.272743809522165,3.12253276678728,0.00179302145312122,0.0108927125658366,"fbxl18","UP","fbxl18"
"ENSDARG00000037746","ENSDARG00000037746",20224.7331420006,0.98233013021556,0.318905520466965,3.08031710701389,0.00206780308275566,0.0122079103824996,"actb1","UP","actb1"
"ENSDARG00000037747","ENSDARG00000037747",274.79439579816,0.800369654190061,0.17403788980889,4.5988241702364,4.24882184157524e-06,7.17496389955121e-05,"fscn1b","UP","fscn1b"
"ENSDARG00000088975","ENSDARG00000088975",95.720348701808,-0.692543345415755,0.25882066745345,-2.67576524019401,0.00745588503639314,0.03339204244143,"si:ch211-14k19.8","DOWN","si:ch211-14k19.8"
"ENSDARG00000058480","ENSDARG00000058480",99.8242441405949,-0.617247798236076,0.218312835167762,-2.82735459764311,0.00469343243519045,0.023357932366706,"chtf18","DOWN","chtf18"
"ENSDARG00000024740","ENSDARG00000024740",8.08838619912408,-1.95056856603539,0.750127474962369,-2.60031612111427,0.00931379184906564,0.0397499330701194,"gng13a","DOWN","gng13a"
"ENSDARG00000058445","ENSDARG00000058445",33.8730919756506,-0.904286333513465,0.343893913109756,-2.62955027419999,0.00854978891338589,0.0372563195571502,"zgc:136472","DOWN","zgc:136472"
"ENSDARG00000091916","ENSDARG00000091916",176.802205431649,-0.529560345917028,0.148612954779555,-3.56335251326206,0.00036614845256591,0.00302862614571517,"ugt5b4","DOWN","ugt5b4"
"ENSDARG00000099276","ENSDARG00000099276",141.702082793299,-0.70996306179982,0.173043358532012,-4.10280445214822,4.08172217413034e-05,0.000490651987973123,"ugt5b2","DOWN","ugt5b2"
"ENSDARG00000070239","ENSDARG00000070239",306.954120292044,0.546536976345126,0.113912077502796,4.79788437123105,1.60350296234014e-06,3.11426029444933e-05,"knl1","UP","knl1"
