"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",12667.4938341134,-0.0138049745830567,0.0572533811219748,-0.24112068689264,0.809461579893364,0.965848866363928
"ENSDARG00000102407",260.637051895879,-0.293986775503819,0.128228564214412,-2.29267774543776,0.0218665647058203,0.252170563916132
"ENSDARG00000102097",198.974252239056,-0.035528871750244,0.14574591757046,-0.243772671938258,0.807406886557015,0.965848866363928
"ENSDARG00000099640",342.779694683275,-0.223278326122812,0.109866236843052,-2.03227426858875,0.0421258978971873,0.351152643882192
"ENSDARG00000104071",272.24139738575,-0.0420347241246336,0.121346749715538,-0.346401730768822,0.729040824573211,0.944678390941391
"ENSDARG00000102746",597.821527902705,-0.155555472418182,0.0935466304261206,-1.66286558596072,0.0963393444933795,0.517417404906444
"ENSDARG00000103929",540.114272904854,0.150991193132264,0.0887614767853514,1.70108924052042,0.0889262310014224,0.499178610493743
"ENSDARG00000101073",43.7078716654502,0.227114821425102,0.298504930683254,0.760841105388961,0.446751979212212,NA
"ENSDARG00000100223",1544.31596268542,0.0573415956153502,0.0732527785256254,0.782790725068414,0.433750014985595,0.844909094181818
"ENSDARG00000100782",95.4902541093986,-0.114247356357803,0.202968603519318,-0.5628819156108,0.57351529541765,NA
"ENSDARG00000034862",185.176228174241,-0.0901093400725286,0.138577988454506,-0.650242806072414,0.515535394688819,0.880990080719574
"ENSDARG00000075827",142.470817944326,-0.346096152253025,0.202793277694853,-1.70664509290985,0.0878880384281178,0.497851168630775
"ENSDARG00000088581",1357.5143465135,0.0114077232587543,0.0925410157564845,0.123272077418871,0.901891651157435,0.983244641112174
"ENSDARG00000076900",67.5369279321191,0.214951369484118,0.269343261771573,0.798057349087931,0.424837210641504,NA
"ENSDARG00000013802",285.571563489271,0.257447199365417,0.118924778541684,2.16479023566295,0.0304037529217305,0.298799667641903
"ENSDARG00000096578",620.761290584197,-0.0227994685257921,0.0940201194086863,-0.242495634649085,0.808396138981787,0.965848866363928
"ENSDARG00000109848",2.38565271749334,-0.768991819706094,1.25379371382481,-0.613332010861833,0.5396568314196,NA
"ENSDARG00000100181",167.558380930565,0.0447159749013487,0.144229881375844,0.3100326678133,0.756536114154617,0.953580012546423
